Latitude,Longitude,Species,Observation_Counts,Sightings
-88.22,146.47,Stork,85,1
-88.21,-94.82,Eagle,87,1
-88.21,60.14,Warbler,7,1
-88.19,-58.33,Stork,52,1
-88.15,22.73,Eagle,73,1
-88.14,120.64,Crane,32,1
-88.13,0.63,Swallow,30,1
-88.13,19.6,Stork,72,1
-88.09,-7.44,Stork,12,1
-88.05,74.5,Goose,16,1
-88.02,-81.44,Crane,82,1
-87.99,35.01,Swallow,56,1
-87.98,49.08,Hawk,72,1
-87.98,179.32,Eagle,66,1
-87.92,24.43,Stork,2,1
-87.92,127.25,Swallow,82,1
-87.87,116.14,Eagle,39,1
-87.85,-155.21,Eagle,26,1
-87.84,2.19,Swallow,2,1
-87.82,79.68,Warbler,10,1
-87.81,6.63,Warbler,61,1
-87.8,62.18,Crane,47,1
-87.8,169.56,Eagle,12,1
-87.8,179.05,Goose,67,1
-87.78,112.05,Crane,68,1
-87.77,-135.47,Warbler,62,1
-87.76,-32.15,Hawk,88,1
-87.74,124.71,Swallow,35,1
-87.72,127.76,Swallow,53,1
-87.72,179.4,Stork,43,1
-87.7,-52.62,Hawk,83,1
-87.67,4.23,Eagle,5,1
-87.65,43.63,Warbler,21,1
-87.65,177.43,Crane,88,1
-87.64,-10.63,Warbler,52,1
-87.64,89.88,Warbler,1,1
-87.64,166.47,Stork,27,1
-87.6,33.34,Eagle,79,1
-87.58,-90.66,Hawk,83,1
-87.58,59.23,Warbler,30,1
-87.58,175.21,Hawk,57,1
-87.5,1.75,Stork,4,1
-87.49,17.4,Eagle,66,1
-87.48,6.71,Eagle,24,1
-87.47,-39.32,Warbler,1,1
-87.46,-18.88,Goose,8,1
-87.45,-93.79,Crane,39,1
-87.45,-58.22,Stork,80,1
-87.44,-118.02,Warbler,89,1
-87.4,-100.54,Goose,55,1
-87.39,-177.75,Crane,71,1
-87.37,-89.36,Swallow,77,1
-87.37,129.01,Stork,49,1
-87.36,-12.62,Goose,38,1
-87.35,31.45,Hawk,49,1
-87.33,114.12,Swallow,5,1
-87.33,142.97,Stork,90,1
-87.29,148.64,Crane,74,1
-87.25,3.82,Hawk,6,1
-87.24,-79.57,Eagle,96,1
-87.24,26.15,Stork,12,1
-87.24,152.95,Warbler,25,1
-87.23,147.07,Stork,15,1
-87.15,-22.11,Hawk,71,1
-87.15,136.06,Stork,96,1
-87.14,-132.5,Warbler,31,1
-87.11,-42.47,Warbler,33,1
-87.09,-158.76,Hawk,51,1
-87.08,81.74,Eagle,58,1
-87.03,-150.62,Hawk,38,1
-87.02,138.8,Goose,22,1
-86.98,-164.0,Hawk,42,1
-86.96,-60.83,Warbler,79,1
-86.96,-5.11,Crane,41,1
-86.95,-69.35,Goose,74,1
-86.94,67.43,Warbler,81,1
-86.93,-141.96,Warbler,95,1
-86.9,91.79,Goose,5,1
-86.89,73.93,Goose,25,1
-86.87,123.64,Swallow,60,1
-86.85,-129.56,Stork,29,1
-86.85,-110.93,Goose,85,1
-86.85,174.66,Eagle,43,1
-86.83,-78.79,Swallow,94,1
-86.82,-88.39,Swallow,99,1
-86.81,173.39,Goose,92,1
-86.79,-62.18,Stork,94,1
-86.76,-111.04,Hawk,75,1
-86.76,-84.96,Eagle,8,1
-86.73,-126.38,Hawk,96,1
-86.73,175.89,Goose,5,1
-86.68,4.59,Eagle,74,1
-86.66,-105.97,Crane,5,1
-86.64,-128.54,Hawk,95,1
-86.64,47.73,Eagle,67,1
-86.63,-170.18,Goose,8,1
-86.61,-118.11,Eagle,49,1
-86.61,107.12,Hawk,67,1
-86.6,-115.35,Warbler,56,1
-86.57,157.15,Eagle,70,1
-86.55,164.33,Swallow,74,1
-86.52,-29.03,Crane,77,1
-86.48,-35.23,Eagle,21,1
-86.43,-170.03,Goose,95,1
-86.42,-91.39,Swallow,85,1
-86.39,-106.49,Hawk,88,1
-86.38,-35.95,Stork,38,1
-86.34,-170.04,Stork,50,1
-86.34,54.93,Hawk,93,1
-86.31,-17.83,Crane,31,1
-86.29,70.76,Stork,18,1
-86.28,163.97,Stork,63,1
-86.27,-89.34,Crane,67,1
-86.18,60.81,Warbler,34,1
-86.18,110.33,Warbler,29,1
-86.15,-134.81,Swallow,47,1
-86.15,-70.69,Stork,88,1
-86.15,14.35,Hawk,52,1
-86.11,-140.4,Eagle,71,1
-86.07,11.25,Crane,72,1
-86.04,71.32,Stork,96,1
-86.01,-128.73,Stork,85,1
-86.0,-57.64,Eagle,91,1
-85.98,-63.25,Hawk,4,1
-85.97,-128.72,Goose,66,1
-85.97,32.05,Crane,55,1
-85.92,-163.43,Stork,30,1
-85.88,-70.63,Hawk,28,1
-85.87,-25.46,Warbler,53,1
-85.86,96.8,Stork,42,1
-85.85,-57.19,Goose,93,1
-85.85,99.5,Warbler,88,1
-85.83,-166.45,Eagle,42,1
-85.82,-38.3,Stork,45,1
-85.81,-119.95,Goose,73,1
-85.77,133.69,Crane,98,1
-85.76,-66.73,Goose,23,1
-85.74,-102.75,Swallow,24,1
-85.72,-24.52,Goose,23,1
-85.67,-68.07,Stork,24,1
-85.66,-113.51,Hawk,44,1
-85.63,-119.02,Warbler,92,1
-85.62,-68.08,Hawk,23,1
-85.61,86.22,Goose,69,1
-85.6,-136.44,Warbler,65,1
-85.58,71.78,Goose,93,1
-85.55,-94.73,Goose,24,1
-85.54,72.95,Hawk,72,1
-85.54,123.43,Swallow,37,1
-85.51,-87.05,Hawk,52,1
-85.51,17.13,Hawk,93,1
-85.5,57.15,Goose,51,1
-85.5,134.99,Swallow,13,1
-85.48,-81.31,Stork,29,1
-85.47,-160.39,Crane,33,1
-85.41,135.81,Goose,92,1
-85.39,132.09,Hawk,64,1
-85.38,-71.58,Warbler,31,1
-85.38,85.62,Crane,73,1
-85.37,-55.66,Stork,98,1
-85.36,75.27,Stork,46,1
-85.35,76.91,Goose,37,1
-85.34,53.33,Crane,26,1
-85.33,103.54,Crane,9,1
-85.3,-102.69,Swallow,39,1
-85.24,-79.56,Stork,48,1
-85.23,115.95,Warbler,35,1
-85.22,131.81,Eagle,54,1
-85.18,32.11,Hawk,86,1
-85.15,172.78,Warbler,28,1
-85.14,-161.85,Swallow,81,1
-85.14,112.97,Goose,17,1
-85.13,-86.2,Hawk,39,1
-85.13,77.8,Crane,54,1
-85.1,-4.75,Swallow,29,1
-85.1,107.94,Crane,12,1
-85.07,-137.87,Eagle,66,1
-85.06,-170.25,Hawk,74,1
-84.99,72.79,Warbler,26,1
-84.96,130.64,Stork,87,1
-84.93,-4.21,Swallow,75,1
-84.93,112.07,Crane,45,1
-84.92,79.21,Goose,90,1
-84.91,-132.36,Warbler,27,1
-84.89,-83.41,Stork,81,1
-84.88,-38.8,Crane,62,1
-84.87,-67.67,Stork,45,1
-84.87,154.24,Goose,22,1
-84.86,-116.45,Hawk,14,1
-84.86,-93.95,Stork,27,1
-84.86,11.3,Crane,76,1
-84.83,22.55,Goose,42,1
-84.81,-99.14,Eagle,85,1
-84.8,152.68,Goose,17,1
-84.77,-110.39,Stork,53,1
-84.73,-32.56,Eagle,26,1
-84.72,60.37,Hawk,77,1
-84.72,91.02,Goose,23,1
-84.7,-164.7,Eagle,46,1
-84.67,46.91,Crane,65,1
-84.66,-169.69,Warbler,31,1
-84.66,117.33,Eagle,3,1
-84.64,-115.95,Warbler,30,1
-84.6,12.14,Stork,79,1
-84.59,98.45,Warbler,54,1
-84.58,-8.97,Hawk,38,1
-84.57,-33.66,Swallow,15,1
-84.56,139.37,Goose,64,1
-84.55,94.07,Hawk,73,1
-84.54,-13.07,Stork,80,1
-84.53,29.82,Eagle,72,1
-84.51,-134.03,Swallow,37,1
-84.47,131.49,Stork,20,1
-84.46,-139.75,Stork,70,1
-84.45,-143.96,Hawk,10,1
-84.45,38.48,Swallow,87,1
-84.42,-156.72,Goose,3,1
-84.42,150.21,Hawk,64,1
-84.4,-135.36,Stork,40,1
-84.34,6.47,Eagle,50,1
-84.3,60.61,Crane,40,1
-84.3,68.03,Goose,23,1
-84.27,47.51,Stork,47,1
-84.24,48.69,Eagle,66,1
-84.22,-103.33,Stork,27,1
-84.22,-14.9,Goose,91,1
-84.22,13.38,Swallow,94,1
-84.17,154.09,Stork,57,1
-84.15,-29.59,Eagle,85,1
-84.11,70.64,Eagle,26,1
-84.1,-60.25,Swallow,51,1
-84.09,123.65,Eagle,3,1
-84.05,179.88,Swallow,17,1
-84.0,104.77,Eagle,5,1
-83.92,-103.71,Hawk,32,1
-83.92,80.22,Stork,59,1
-83.89,52.08,Warbler,45,1
-83.89,81.12,Crane,35,1
-83.87,-171.12,Stork,2,1
-83.86,-84.71,Crane,91,1
-83.79,77.85,Eagle,68,1
-83.78,43.21,Stork,39,1
-83.77,-32.27,Warbler,56,1
-83.73,95.91,Crane,59,1
-83.7,-13.65,Swallow,13,1
-83.69,20.61,Warbler,30,1
-83.68,-162.22,Hawk,14,1
-83.67,-150.57,Warbler,64,1
-83.66,-162.59,Warbler,90,1
-83.65,-83.09,Warbler,5,1
-83.65,25.38,Hawk,28,1
-83.64,-47.93,Hawk,54,1
-83.62,-114.31,Hawk,33,1
-83.6,-142.17,Goose,93,1
-83.58,-51.19,Eagle,41,1
-83.54,84.01,Swallow,44,1
-83.51,-6.66,Goose,88,1
-83.5,-58.17,Swallow,69,1
-83.49,109.94,Goose,17,1
-83.49,134.36,Swallow,31,1
-83.44,16.12,Hawk,31,1
-83.41,-163.26,Eagle,84,1
-83.38,-146.67,Warbler,41,1
-83.36,-78.93,Swallow,4,1
-83.35,16.98,Eagle,14,1
-83.35,56.09,Eagle,66,1
-83.35,68.39,Eagle,87,1
-83.34,179.23,Goose,20,1
-83.33,149.57,Warbler,47,1
-83.26,49.49,Warbler,97,1
-83.23,82.92,Eagle,63,1
-83.22,82.6,Swallow,85,1
-83.22,138.13,Eagle,7,1
-83.18,7.61,Hawk,38,1
-83.17,-142.47,Crane,37,1
-83.11,131.0,Hawk,3,1
-83.08,-83.61,Goose,29,1
-83.06,-115.98,Stork,83,1
-83.03,111.29,Crane,44,1
-83.02,-147.53,Stork,42,1
-83.0,114.03,Goose,28,1
-82.96,85.32,Eagle,70,1
-82.93,-127.13,Swallow,14,1
-82.93,175.53,Eagle,11,1
-82.89,161.41,Hawk,89,1
-82.88,-135.9,Warbler,14,1
-82.86,-132.67,Crane,81,1
-82.86,-48.64,Goose,2,1
-82.84,-112.75,Crane,69,1
-82.84,59.99,Crane,26,1
-82.79,51.89,Crane,54,1
-82.77,-47.93,Crane,77,1
-82.76,103.08,Hawk,9,1
-82.75,-170.55,Swallow,59,1
-82.74,-178.39,Eagle,42,1
-82.74,86.27,Swallow,99,1
-82.72,24.01,Swallow,24,1
-82.7,-172.76,Stork,32,1
-82.69,85.08,Goose,42,1
-82.67,60.99,Stork,28,1
-82.67,132.93,Warbler,94,1
-82.66,-123.86,Warbler,37,1
-82.64,52.15,Goose,44,1
-82.62,-2.09,Warbler,38,1
-82.62,161.29,Hawk,18,1
-82.59,72.79,Stork,37,1
-82.56,119.67,Swallow,42,1
-82.55,-66.37,Goose,7,1
-82.55,81.11,Swallow,97,1
-82.55,171.12,Hawk,53,1
-82.54,8.3,Warbler,13,1
-82.54,55.7,Swallow,59,1
-82.53,-100.47,Goose,25,1
-82.51,133.0,Goose,58,1
-82.45,14.14,Hawk,65,1
-82.43,-135.23,Eagle,99,1
-82.41,-57.9,Crane,61,1
-82.4,-172.61,Stork,45,1
-82.36,-172.61,Stork,36,1
-82.35,-40.86,Warbler,56,1
-82.35,139.36,Swallow,30,1
-82.35,164.86,Stork,74,1
-82.34,-42.24,Eagle,33,1
-82.34,50.7,Eagle,48,1
-82.34,95.32,Stork,25,1
-82.33,-92.04,Crane,97,1
-82.31,143.33,Eagle,34,1
-82.29,-49.39,Eagle,19,1
-82.28,-149.86,Hawk,99,1
-82.28,-81.34,Hawk,59,1
-82.27,-137.11,Stork,33,1
-82.24,-18.33,Warbler,70,1
-82.22,16.89,Hawk,14,1
-82.22,118.78,Swallow,35,1
-82.21,-99.53,Goose,80,1
-82.21,175.5,Swallow,24,1
-82.2,-127.69,Goose,71,1
-82.2,-107.08,Stork,40,1
-82.2,58.63,Crane,7,1
-82.19,-41.94,Goose,49,1
-82.17,-147.32,Warbler,4,1
-82.16,152.79,Warbler,91,1
-82.12,85.91,Warbler,76,1
-82.12,156.48,Hawk,33,1
-82.07,-55.53,Swallow,97,1
-82.05,-56.23,Stork,84,1
-82.02,-136.02,Eagle,89,1
-81.97,177.37,Goose,54,1
-81.96,71.32,Hawk,42,1
-81.94,111.92,Crane,12,1
-81.93,28.21,Crane,79,1
-81.92,-53.06,Crane,59,1
-81.92,65.69,Swallow,37,1
-81.9,10.78,Warbler,76,1
-81.9,32.83,Swallow,34,1
-81.89,-14.08,Eagle,13,1
-81.89,78.29,Goose,13,1
-81.87,-52.89,Swallow,19,1
-81.86,-90.37,Hawk,19,1
-81.86,70.51,Warbler,17,1
-81.82,-54.11,Goose,95,1
-81.79,-42.13,Stork,13,1
-81.79,-36.41,Crane,70,1
-81.76,68.73,Warbler,31,1
-81.74,-133.08,Warbler,94,1
-81.72,22.46,Swallow,52,1
-81.72,89.12,Eagle,39,1
-81.71,-156.24,Hawk,68,1
-81.68,39.87,Stork,52,1
-81.65,-53.21,Hawk,89,1
-81.64,-125.86,Swallow,24,1
-81.64,-121.49,Stork,41,1
-81.61,-140.7,Warbler,10,1
-81.6,54.78,Crane,85,1
-81.59,-66.32,Stork,32,1
-81.57,0.15,Stork,58,1
-81.56,68.83,Crane,99,1
-81.55,104.06,Stork,88,1
-81.53,30.32,Hawk,5,1
-81.52,-55.67,Eagle,27,1
-81.52,153.73,Crane,7,1
-81.51,133.53,Stork,21,1
-81.49,126.02,Warbler,61,1
-81.47,-87.97,Eagle,67,1
-81.45,-67.52,Swallow,61,1
-81.43,-100.6,Warbler,85,1
-81.32,83.02,Hawk,59,1
-81.3,-65.86,Crane,62,1
-81.26,57.11,Crane,5,1
-81.25,-174.24,Warbler,87,1
-81.23,40.42,Crane,51,1
-81.16,-99.35,Stork,35,1
-81.1,-114.95,Warbler,14,1
-81.09,105.62,Hawk,61,1
-81.07,-154.28,Eagle,62,1
-81.04,52.2,Eagle,46,1
-81.02,-89.46,Goose,18,1
-81.02,71.55,Goose,66,1
-81.01,-2.96,Stork,45,1
-80.98,-83.71,Goose,28,1
-80.97,24.01,Hawk,45,1
-80.95,75.74,Hawk,53,1
-80.93,-0.0,Warbler,8,1
-80.92,-174.31,Warbler,75,1
-80.92,85.51,Crane,67,1
-80.9,70.73,Goose,89,1
-80.89,148.43,Swallow,69,1
-80.86,10.03,Hawk,95,1
-80.85,-40.88,Eagle,33,1
-80.83,-92.01,Crane,41,1
-80.82,163.28,Eagle,59,1
-80.82,172.03,Goose,14,1
-80.8,57.21,Warbler,19,1
-80.77,-155.51,Swallow,7,1
-80.76,-50.82,Swallow,23,1
-80.75,103.81,Swallow,95,1
-80.75,175.02,Swallow,53,1
-80.67,13.21,Crane,11,1
-80.67,154.16,Hawk,2,1
-80.66,114.81,Eagle,70,1
-80.65,-80.75,Stork,22,1
-80.59,-56.13,Swallow,64,1
-80.59,48.4,Goose,9,1
-80.56,-100.9,Stork,63,1
-80.56,-73.84,Warbler,22,1
-80.56,115.89,Warbler,1,1
-80.55,44.35,Hawk,25,1
-80.55,101.61,Hawk,98,1
-80.52,-122.16,Eagle,97,1
-80.5,-175.81,Hawk,76,1
-80.4,-84.35,Hawk,94,1
-80.4,87.64,Crane,59,1
-80.38,172.72,Goose,22,1
-80.31,142.45,Hawk,64,1
-80.29,-14.77,Hawk,56,1
-80.24,43.58,Stork,52,1
-80.23,-26.59,Warbler,25,1
-80.21,-146.78,Warbler,81,1
-80.19,-151.87,Goose,44,1
-80.18,26.96,Eagle,90,1
-80.18,32.18,Stork,47,1
-80.13,2.33,Hawk,28,1
-80.1,-179.2,Hawk,20,1
-80.1,36.13,Crane,19,1
-80.08,-178.7,Warbler,8,1
-80.08,-128.87,Stork,55,1
-80.02,-113.72,Crane,68,1
-80.0,-169.49,Crane,62,1
-79.99,-5.9,Eagle,41,1
-79.98,29.92,Stork,95,1
-79.94,-61.23,Stork,14,1
-79.89,-84.76,Crane,93,1
-79.87,-8.98,Hawk,21,1
-79.84,66.87,Crane,91,1
-79.84,131.8,Hawk,55,1
-79.83,-54.72,Goose,37,1
-79.81,42.6,Swallow,76,1
-79.79,-129.15,Eagle,81,1
-79.79,68.51,Crane,35,1
-79.77,-172.4,Goose,67,1
-79.74,79.92,Swallow,57,1
-79.74,118.78,Goose,40,1
-79.73,-44.94,Eagle,2,1
-79.7,-132.11,Stork,57,1
-79.68,-177.94,Eagle,60,1
-79.64,-151.75,Hawk,26,1
-79.61,-176.16,Swallow,41,1
-79.61,166.38,Eagle,92,1
-79.56,-65.94,Warbler,97,1
-79.55,19.44,Goose,60,1
-79.53,119.53,Warbler,9,1
-79.52,85.07,Goose,41,1
-79.51,37.81,Crane,76,1
-79.5,-26.85,Hawk,31,1
-79.49,-67.37,Crane,23,1
-79.42,-102.2,Goose,99,1
-79.36,81.55,Warbler,48,1
-79.33,178.24,Hawk,60,1
-79.32,66.15,Swallow,59,1
-79.31,44.4,Eagle,94,1
-79.29,93.99,Crane,21,1
-79.25,-69.93,Eagle,3,1
-79.24,95.25,Goose,24,1
-79.23,-102.74,Hawk,95,1
-79.21,-140.72,Crane,1,1
-79.2,-59.75,Crane,22,1
-79.2,40.63,Hawk,63,1
-79.19,-174.11,Stork,58,1
-79.17,-107.65,Warbler,6,1
-79.17,-81.83,Warbler,92,1
-79.14,-103.86,Swallow,82,1
-79.11,-121.82,Hawk,53,1
-79.09,142.54,Swallow,64,1
-79.08,17.61,Crane,83,1
-79.08,34.58,Swallow,98,1
-79.06,129.28,Eagle,14,1
-79.04,-143.2,Eagle,27,1
-79.03,95.19,Hawk,7,1
-79.0,76.37,Goose,45,1
-79.0,150.9,Warbler,93,1
-78.99,-102.09,Warbler,43,1
-78.97,41.02,Eagle,24,1
-78.96,118.69,Crane,75,1
-78.96,156.51,Swallow,99,1
-78.94,-161.69,Warbler,11,1
-78.94,-59.94,Goose,38,1
-78.92,40.03,Warbler,80,1
-78.9,-33.34,Eagle,88,1
-78.88,-25.39,Stork,14,1
-78.87,52.03,Warbler,31,1
-78.85,15.39,Hawk,40,1
-78.82,69.77,Crane,41,1
-78.8,-63.21,Eagle,72,1
-78.8,103.48,Crane,44,1
-78.79,-102.24,Crane,96,1
-78.79,162.9,Goose,3,1
-78.7,76.09,Eagle,24,1
-78.68,142.5,Stork,50,1
-78.67,-52.28,Crane,44,1
-78.67,7.39,Hawk,86,1
-78.65,-45.28,Crane,73,1
-78.62,64.6,Warbler,47,1
-78.58,-87.59,Goose,42,1
-78.56,-122.24,Crane,36,1
-78.55,88.83,Hawk,24,1
-78.54,-69.77,Stork,8,1
-78.54,133.63,Crane,78,1
-78.5,-2.33,Stork,3,1
-78.5,55.12,Goose,1,1
-78.49,-62.18,Hawk,67,1
-78.47,-95.84,Stork,3,1
-78.45,-97.15,Stork,89,1
-78.45,-75.78,Eagle,23,1
-78.44,-131.28,Swallow,73,1
-78.41,93.33,Eagle,43,1
-78.38,-94.85,Swallow,13,1
-78.34,150.7,Crane,20,1
-78.32,-159.06,Hawk,26,1
-78.31,-32.5,Warbler,61,1
-78.3,-150.22,Warbler,39,1
-78.26,-135.45,Eagle,12,1
-78.23,69.73,Swallow,40,1
-78.23,98.79,Stork,29,1
-78.22,90.94,Eagle,29,1
-78.2,-31.68,Goose,93,1
-78.19,160.03,Eagle,68,1
-78.12,-93.93,Hawk,21,1
-78.12,74.48,Crane,28,1
-78.1,-38.03,Stork,68,1
-78.1,155.24,Swallow,39,1
-78.08,37.03,Swallow,63,1
-78.05,-136.3,Warbler,57,1
-78.04,-139.94,Stork,43,1
-77.97,-91.56,Warbler,73,1
-77.95,105.74,Hawk,74,1
-77.93,67.83,Swallow,68,1
-77.92,14.25,Goose,50,1
-77.91,-83.79,Goose,92,1
-77.91,140.18,Eagle,73,1
-77.9,54.0,Hawk,98,1
-77.88,71.11,Crane,51,1
-77.86,-146.84,Hawk,1,1
-77.86,-15.63,Goose,28,1
-77.85,-11.43,Hawk,55,1
-77.83,17.91,Crane,90,1
-77.82,-48.24,Stork,89,1
-77.79,-142.84,Goose,93,1
-77.7,30.2,Swallow,26,1
-77.69,-22.04,Warbler,91,1
-77.68,10.41,Crane,69,1
-77.67,-29.23,Eagle,41,1
-77.66,-129.58,Crane,62,1
-77.64,-11.9,Eagle,57,1
-77.63,105.93,Warbler,52,1
-77.62,16.81,Crane,7,1
-77.6,22.2,Eagle,82,1
-77.6,49.61,Goose,22,1
-77.59,179.18,Stork,78,1
-77.58,-99.61,Crane,47,1
-77.58,116.06,Warbler,99,1
-77.56,3.59,Warbler,81,1
-77.51,-133.25,Crane,67,1
-77.49,44.06,Stork,46,1
-77.45,-124.11,Eagle,1,1
-77.43,-10.18,Goose,25,1
-77.39,23.75,Stork,92,1
-77.39,49.07,Warbler,88,1
-77.39,68.9,Goose,3,1
-77.39,115.2,Warbler,44,1
-77.38,-122.57,Stork,84,1
-77.36,65.74,Stork,44,1
-77.36,141.07,Eagle,90,1
-77.32,-82.77,Crane,55,1
-77.3,58.93,Warbler,67,1
-77.3,109.12,Swallow,4,1
-77.25,11.69,Goose,44,1
-77.25,152.55,Eagle,31,1
-77.23,-110.33,Warbler,84,1
-77.21,-157.71,Goose,58,1
-77.2,-100.0,Hawk,16,1
-77.18,-141.22,Eagle,34,1
-77.14,-133.9,Eagle,12,1
-77.13,26.92,Crane,61,1
-77.1,132.51,Swallow,54,1
-77.08,-116.07,Crane,78,1
-77.06,41.03,Eagle,27,1
-77.04,-68.26,Warbler,14,1
-77.01,131.43,Crane,64,1
-76.99,-27.29,Hawk,95,1
-76.97,139.67,Eagle,54,1
-76.93,-54.77,Eagle,70,1
-76.93,48.23,Goose,10,1
-76.92,-3.21,Stork,71,1
-76.9,136.67,Stork,97,1
-76.89,-147.61,Crane,77,1
-76.84,160.97,Goose,14,1
-76.81,135.98,Crane,34,1
-76.8,94.3,Stork,57,1
-76.78,36.35,Hawk,39,1
-76.76,-1.49,Stork,68,1
-76.75,-163.85,Hawk,48,1
-76.71,-54.48,Swallow,22,1
-76.71,0.94,Eagle,45,1
-76.69,3.81,Eagle,11,1
-76.67,-170.68,Warbler,92,1
-76.66,48.56,Warbler,18,1
-76.64,145.91,Swallow,33,1
-76.61,-6.24,Eagle,18,1
-76.61,81.78,Crane,5,1
-76.61,164.61,Warbler,90,1
-76.6,-29.45,Goose,59,1
-76.6,28.15,Eagle,60,1
-76.6,155.2,Swallow,86,1
-76.59,141.49,Warbler,13,1
-76.57,-122.02,Goose,96,1
-76.55,147.55,Crane,67,1
-76.52,-64.91,Swallow,60,1
-76.51,-152.1,Crane,94,1
-76.51,85.79,Crane,72,1
-76.5,-34.72,Hawk,20,1
-76.5,-27.23,Stork,23,1
-76.47,-108.78,Warbler,32,1
-76.46,62.36,Crane,42,1
-76.44,176.91,Goose,30,1
-76.41,75.26,Goose,1,1
-76.34,79.97,Warbler,67,1
-76.32,-74.28,Warbler,73,1
-76.32,161.85,Eagle,50,1
-76.31,-130.56,Warbler,64,1
-76.31,30.4,Hawk,24,1
-76.31,110.17,Crane,57,1
-76.29,100.13,Swallow,78,1
-76.23,-70.15,Crane,20,1
-76.22,-2.2,Swallow,16,1
-76.2,108.29,Swallow,8,1
-76.18,80.58,Crane,31,1
-76.17,-117.53,Eagle,60,1
-76.17,1.55,Eagle,92,1
-76.1,-142.49,Stork,4,1
-76.09,-27.45,Crane,86,1
-76.04,10.42,Hawk,28,1
-76.04,25.36,Warbler,51,1
-76.01,159.06,Swallow,26,1
-75.99,-94.83,Eagle,4,1
