Bird_ID,Species,Region,Habitat,Weather_Condition,Migration_Reason,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude,Flight_Distance_km,Flight_Duration_hours,Average_Speed_kmph,Max_Altitude_m,Min_Altitude_m,Temperature_C,Wind_Speed_kmph,Humidity_%,Pressure_hPa,Visibility_km,Nesting_Success,Tag_Battery_Level_%,Signal_Strength_dB,Migration_Start_Month,Migration_End_Month,Rest_Stops,Predator_Sightings,Tag_Type,Migrated_in_Flock,Flock_Size,Food_Supply_Level,Tracking_Quality,Migration_Interrupted,Interrupted_Reason,Tagged_By,Tag_Weight_g,Migration_Success,Recovery_Location_Known,Recovery_Time_days,Observation_Counts,Observation_Quality
B1146,Warbler,Asia,Mountain,Windy,Breeding,0.432061108,-130.1960839,28.0159947,70.29044386,3016.48,20.1,48.73,6368,673,-0.8,38.5,14,965.2,7,No,85,-73.2,Sep,Mar,14,1,Radio,No,140,Low,Excellent,Yes,Injury,Researcher_C,7.1,Successful,No,20,2,Low
B4780,Hawk,South America,Coastal,Foggy,Feeding,46.98359323,90.72314848,57.70971853,61.53976507,1942.4,20.3,54.74,4466,102,15.4,45.5,16,979.4,3.7,Yes,51,-54.6,Feb,Dec,10,2,Satellite,Yes,383,Medium,Excellent,Yes,Predator,Researcher_C,29.6,Failed,Yes,1,98,Low
B9809,Goose,Europe,Forest,Windy,Climate Change,28.82347001,29.07782709,-12.55520222,-144.5337853,3156.07,20.3,48.35,1023,729,13.3,17.1,86,1021.5,2.8,No,58,-68.5,Oct,Dec,9,9,GPS,No,143,Medium,Fair,No,Lost Signal,Researcher_A,21.5,Successful,Yes,64,85,High
B10719,Crane,Europe,Mountain,Foggy,Avoid Predators,-79.48642714,-67.37381096,-54.59222073,-107.07021,2061.96,20.3,50.4,9907,174,0.5,50.1,44,988.4,6.6,No,47,-73.8,Sep,Jun,13,1,Radio,No,154,Low,Good,Yes,N/A,Researcher_B,17.1,Successful,No,3,23,Low
B5302,Goose,Asia,Mountain,Clear,Breeding,-14.8628849,-152.980304,-50.04887239,-143.307584,2711.54,20.4,58.18,9561,235,-3.2,18.2,53,1015.6,10.4,Yes,12,-64.4,Oct,Nov,14,1,Radio,No,469,Medium,Poor,No,N/A,Researcher_A,9.4,Successful,No,31,37,Moderate
B10094,Warbler,North America,Mountain,Clear,Avoid Predators,-72.47919608,166.7122012,35.98067652,152.0056375,2047.09,20.9,50.64,9182,106,0.1,44.8,37,984.9,5.1,No,77,-64,Oct,Dec,2,5,Satellite,Yes,419,Medium,Good,No,Lost Signal,Researcher_B,13.1,Failed,No,107,46,Moderate
B8844,Warbler,South America,Mountain,Clear,Avoid Predators,-88.57317984,87.75271895,17.17471292,-7.134017734,3360.14,21.2,49.35,1459,157,4.5,6.7,86,1011.5,16.9,Yes,76,-64.4,Sep,Oct,8,6,Radio,No,496,Low,Good,No,Storm,Researcher_C,24.5,Failed,No,71,46,Low
B7821,Hawk,North America,Wetland,Stormy,Avoid Predators,31.20177009,-125.0078947,-30.82709029,151.1466551,1784.72,21.3,50.92,7596,742,-8.4,33.6,44,976.1,17.7,Yes,94,-59.9,Mar,May,13,9,Radio,Yes,342,Medium,Excellent,No,Injury,Researcher_A,7.5,Failed,Yes,28,85,Low
B5117,Warbler,Africa,Wetland,Stormy,Breeding,-52.3484249,155.0458091,-70.17214217,133.4078723,2807.56,21.6,54.89,5824,331,13,22.4,26,1018.1,11.1,No,57,-69.8,Oct,Oct,10,6,GPS,Yes,375,High,Good,No,Injury,Researcher_C,21.5,Failed,Yes,96,54,High
B3303,Goose,South America,Forest,Clear,Avoid Predators,69.76630126,69.376847,-2.815048977,-110.9305433,2886.69,21.7,45.89,3603,885,11.2,25.3,57,954.4,5.1,No,36,-81.9,Nov,Nov,12,6,GPS,Yes,188,Medium,Poor,Yes,Storm,Researcher_B,24.7,Failed,No,15,89,Low
B4392,Goose,South America,Coastal,Windy,Avoid Predators,-16.37003136,148.0413722,-5.878880218,-90.39803974,2013.39,21.8,45.99,7606,229,13.2,13.7,95,1021,2,No,37,-54.3,Feb,Dec,7,8,Satellite,Yes,427,Low,Fair,No,Lost Signal,Researcher_A,21.4,Successful,Yes,22,21,Low
B2854,Stork,Africa,Urban,Foggy,Avoid Predators,-80.07538767,-128.8674747,-30.08450851,-118.101454,2928.09,21.8,46.22,8740,883,-6.7,21.5,51,953.3,12.1,No,60,-69.6,May,Dec,9,0,Radio,Yes,427,Medium,Excellent,No,N/A,Researcher_C,20.2,Successful,Yes,59,55,High
B8467,Goose,Asia,Grassland,Windy,Breeding,62.87479151,-178.0959581,53.53996684,-101.9814551,2699.96,21.9,54.51,6392,706,34,57,46,1022.7,3.6,No,30,-62.8,Feb,Nov,1,7,GPS,No,380,High,Excellent,No,Injury,Researcher_C,25.3,Successful,Yes,10,49,Low
B8548,Eagle,Australia,Grassland,Foggy,Avoid Predators,-47.01620763,-153.9890595,-76.8629425,-122.7680733,2502.06,22.1,44.72,4779,273,26.2,29.6,95,1002.9,4.2,Yes,45,-77.2,Mar,Nov,9,0,Satellite,Yes,269,Low,Poor,No,Storm,Researcher_B,10.5,Successful,Yes,11,34,Moderate
B5971,Hawk,Australia,Coastal,Windy,Feeding,-80.54835011,101.6087149,-33.37930634,10.69222515,2528.94,22.1,55.09,4247,374,-8,10.3,41,1010.7,9.8,Yes,39,-78.8,Apr,Nov,3,6,Radio,Yes,157,Medium,Fair,No,Predator,Researcher_B,22.2,Successful,Yes,99,98,Low
B10018,Hawk,Asia,Coastal,Clear,Feeding,-4.026428623,-115.9850327,50.56459755,40.97896673,2930.13,22.1,41.83,4299,139,2.6,47.2,87,1032.2,6.3,No,54,-64.1,Feb,Mar,14,7,GPS,Yes,174,High,Poor,Yes,Storm,Researcher_B,25.7,Successful,No,96,74,High
B5170,Stork,Australia,Urban,Windy,Breeding,-33.17331627,49.69875922,59.16307657,-148.5121172,3005.55,22.3,42.96,4590,129,0.2,21.5,42,983.1,18,Yes,37,-66.6,Jan,Nov,2,4,GPS,Yes,499,High,Fair,Yes,Injury,Researcher_C,7.2,Successful,Yes,90,67,Moderate
B5237,Stork,Asia,Grassland,Stormy,Avoid Predators,-27.97689425,109.190879,28.94852448,-86.4761201,2056.86,22.4,51.28,6532,884,19.9,35.4,32,998,16.5,No,15,-78,Jan,Dec,3,4,Radio,Yes,265,Low,Fair,No,Storm,Researcher_A,29.1,Failed,Yes,17,34,Low
B6949,Warbler,Europe,Mountain,Clear,Breeding,-51.36496563,145.9569531,-41.15601069,86.20290998,1908.08,22.4,55.29,4606,262,27.2,4.3,89,1049.9,7.1,No,93,-69.2,Apr,Nov,12,1,Satellite,Yes,442,High,Poor,Yes,N/A,Researcher_C,27.5,Successful,Yes,11,9,Low
B9493,Stork,Asia,Mountain,Foggy,Climate Change,-88.22323223,146.468245,-29.89278112,-20.14344117,2368.39,22.5,40,7636,867,-7.6,59.1,45,975.9,10.1,No,68,-59.6,Nov,Jun,6,8,Radio,No,245,Medium,Excellent,Yes,N/A,Researcher_A,28.6,Failed,Yes,28,85,Low
B6412,Goose,North America,Wetland,Rainy,Avoid Predators,30.76390944,-145.6636685,-31.6347497,63.22468768,2316.31,22.5,46.54,7550,372,-0.7,0.2,68,986.6,1.6,No,91,-68.2,Feb,Nov,14,7,Radio,Yes,323,Low,Poor,No,N/A,Researcher_B,11.3,Successful,No,106,22,High
B2537,Stork,Asia,Forest,Rainy,Feeding,5.893550173,18.85485636,27.50452602,-151.8327606,2895.4,22.5,51.2,5191,789,18.6,36.7,94,973.3,8.7,Yes,14,-58.9,May,Jun,9,4,GPS,Yes,146,Low,Good,Yes,Lost Signal,Researcher_C,12.3,Successful,Yes,11,7,Moderate
B3870,Eagle,Asia,Coastal,Clear,Avoid Predators,21.31101815,32.60566329,-65.70551951,103.611836,3086.89,22.5,45.94,7943,818,-0.5,17.1,90,1018.4,19.9,No,73,-71.1,Nov,Mar,13,8,Radio,No,75,High,Good,Yes,N/A,Researcher_B,5.8,Successful,Yes,32,27,Moderate
B8858,Swallow,Africa,Urban,Stormy,Climate Change,-62.79171644,34.63902576,-62.79510147,19.70052427,2414.25,22.6,41.55,5521,883,-4.1,21.5,50,995.9,7.6,Yes,95,-67.7,Oct,Oct,7,7,GPS,No,403,High,Poor,Yes,Injury,Researcher_C,22.5,Failed,Yes,82,37,High
B1037,Stork,Asia,Mountain,Rainy,Avoid Predators,-48.54252297,61.83348423,9.358435136,-123.7278833,3096.37,22.6,54.9,5138,823,-4.7,31.9,76,1007.8,5.7,No,35,-82.6,May,May,2,1,Satellite,Yes,103,Medium,Excellent,No,Lost Signal,Researcher_B,25.4,Failed,Yes,16,46,Moderate
B1511,Warbler,Europe,Forest,Foggy,Breeding,0.568467624,-55.58137177,86.98591915,168.172393,2317.78,22.7,54.82,5828,314,23.4,19.4,17,1041.1,12.9,No,33,-50.9,Apr,May,2,3,Satellite,No,91,Low,Fair,No,N/A,Researcher_A,6.6,Successful,No,103,39,High
B10925,Hawk,Europe,Coastal,Foggy,Avoid Predators,86.65885298,12.07303324,-27.14908918,30.13675462,3145.39,22.7,52.1,8200,667,32.6,37.1,58,996.8,6.6,Yes,33,-79.8,Feb,Oct,6,0,Satellite,No,477,Medium,Good,No,N/A,Researcher_B,12.3,Failed,Yes,24,97,Low
B2467,Hawk,South America,Urban,Stormy,Climate Change,18.26883424,-143.3558479,42.20459678,-116.9221396,1892.4,22.9,52.2,6184,745,-3.2,14.8,92,963.5,17.9,Yes,23,-55.5,Mar,Nov,11,5,GPS,No,28,Medium,Poor,No,Injury,Researcher_C,12.4,Failed,No,2,32,Moderate
B7192,Stork,South America,Urban,Stormy,Feeding,85.34068519,71.51409188,37.46199674,-113.8653538,2678.86,23.2,50.08,3116,344,34.4,11.6,56,965.1,1,Yes,82,-54.7,Mar,Dec,13,3,Satellite,Yes,50,High,Good,No,Predator,Researcher_B,23,Successful,No,108,87,Moderate
B9835,Stork,North America,Coastal,Rainy,Climate Change,-67.91678315,2.717727188,-21.36803267,-32.79079319,2982.29,23.3,50.91,3226,198,29.3,26.8,27,1030.8,2.5,Yes,80,-66.6,Jan,Jun,11,2,Radio,No,75,Low,Poor,Yes,Lost Signal,Researcher_C,18.5,Failed,Yes,32,67,High
B8406,Goose,South America,Urban,Rainy,Climate Change,85.64589071,-84.17467037,-27.178514,-142.6450425,2470.4,23.4,52.08,9745,216,9.2,17.5,51,960.1,9.4,No,88,-66.7,Feb,Dec,5,9,GPS,No,345,Medium,Good,Yes,Predator,Researcher_B,23.2,Failed,Yes,91,11,Low
B1204,Stork,Asia,Mountain,Clear,Breeding,32.997391,-173.7960542,44.37831489,102.5519293,3543.09,23.4,48.89,9416,397,22.7,24.7,28,953.5,2.3,No,38,-55.1,Nov,Dec,5,9,Radio,Yes,308,Medium,Fair,Yes,N/A,Researcher_B,28.5,Failed,Yes,15,56,Low
B2070,Warbler,South America,Grassland,Foggy,Avoid Predators,-11.157206,98.8527712,-87.52849352,87.11679604,1397.05,23.5,59.65,8001,440,26,5.6,67,1045.8,15.6,No,96,-72.4,Nov,Nov,14,0,GPS,No,454,Low,Good,Yes,Storm,Researcher_C,16.6,Failed,No,71,90,Moderate
B8655,Warbler,Africa,Wetland,Clear,Avoid Predators,17.82129829,112.7521182,-77.80767807,-144.6745726,2499.74,23.6,42.95,1673,578,17.7,55.3,69,993.1,5,Yes,73,-69.4,Sep,Nov,12,6,Satellite,Yes,42,High,Poor,No,Injury,Researcher_A,18.2,Successful,No,104,24,Moderate
B7200,Eagle,South America,Coastal,Stormy,Feeding,-82.95975215,85.32168236,-22.98524355,-13.96988203,2606.65,23.8,43.49,3189,101,22.4,4.2,73,1046,17.2,Yes,83,-77.6,Mar,Dec,11,2,GPS,Yes,445,High,Excellent,No,N/A,Researcher_C,9.4,Successful,Yes,29,70,Moderate
B4040,Warbler,Australia,Grassland,Stormy,Climate Change,-80.79880901,57.21194128,12.48309438,168.8362628,1779.32,23.9,43.01,5890,554,-1.6,16,59,1027.5,2.4,No,85,-55.3,Jan,Nov,6,5,Satellite,No,224,Low,Good,No,N/A,Researcher_A,19.8,Successful,No,23,19,Moderate
B4168,Crane,Asia,Forest,Foggy,Avoid Predators,60.34600696,-146.8355707,-74.99815954,-49.07650849,2280.59,23.9,55.27,1026,117,3.3,56.8,79,1018.1,19.3,No,67,-64.9,Oct,Nov,3,6,Satellite,No,422,High,Poor,Yes,Injury,Researcher_A,21.6,Failed,No,51,63,High
B7844,Goose,South America,Urban,Stormy,Breeding,31.01411496,91.44724546,19.95907664,-128.4845704,2708.71,23.9,49.78,5776,747,34.6,21.8,92,967.6,8.6,No,50,-61.2,Feb,Mar,8,9,GPS,Yes,162,High,Poor,No,Predator,Researcher_A,20.5,Failed,Yes,27,82,Low
B8073,Warbler,Europe,Coastal,Stormy,Avoid Predators,-20.90694686,65.71817741,48.35998964,-156.5778613,1927.84,23.9,41.63,4436,582,26.1,59.6,91,986.9,2.4,Yes,21,-88.2,Sep,Nov,4,4,Radio,Yes,125,Medium,Excellent,Yes,N/A,Researcher_A,23.6,Failed,No,93,6,Low
B3077,Hawk,North America,Urban,Foggy,Feeding,17.01570039,50.38365181,25.91958301,-14.28956928,2226.33,24.1,53.57,1339,540,2.3,2,56,1021.1,3.4,Yes,50,-65,Apr,Nov,5,8,Satellite,No,436,Medium,Fair,No,Lost Signal,Researcher_A,17.5,Successful,No,82,17,Moderate
B7032,Goose,Asia,Urban,Foggy,Avoid Predators,-8.84225506,-170.0292783,-77.00394463,95.83421313,2698.89,24.1,49.08,6463,764,-8.7,42.9,52,1021.7,19.1,Yes,25,-59,Jan,Nov,12,9,Satellite,Yes,430,Low,Poor,No,Injury,Researcher_A,21.8,Failed,No,66,73,Moderate
B4913,Crane,North America,Grassland,Stormy,Breeding,88.63536634,42.16573583,50.95808718,166.1076373,2320.66,24.2,51.11,7682,749,5.5,12.7,83,974.8,15,Yes,50,-85.4,Feb,Apr,6,1,Satellite,No,362,Medium,Poor,No,Injury,Researcher_B,29.9,Failed,Yes,37,17,Moderate
B10621,Hawk,South America,Urban,Windy,Climate Change,-43.97712728,-28.29683449,1.169149315,58.51480505,2596.93,24.2,52.89,5547,703,-0.2,31,24,964.4,6.3,Yes,57,-72.4,Apr,Jun,6,4,Satellite,Yes,340,Low,Poor,No,Storm,Researcher_C,15.5,Successful,Yes,61,46,Low
B8749,Eagle,South America,Urban,Windy,Avoid Predators,88.8461995,24.06979199,71.449875,-48.43640899,3305.12,24.3,47.14,9916,415,-2.8,33.5,80,969.9,7.4,Yes,74,-74,Sep,Dec,13,5,Satellite,Yes,462,High,Fair,Yes,Storm,Researcher_B,6.1,Successful,Yes,70,60,Moderate
B4944,Warbler,Europe,Mountain,Clear,Feeding,-59.06499181,-128.9254902,33.90418238,104.0113474,2570.23,24.4,55.34,7467,472,8.1,34.5,23,1023.2,13.8,Yes,26,-60.1,Oct,Dec,13,6,Satellite,Yes,378,Medium,Excellent,Yes,Storm,Researcher_B,8.4,Failed,Yes,57,36,Moderate
B3202,Eagle,Europe,Urban,Windy,Breeding,-77.60110784,22.20377235,-49.85097796,93.28121991,2551.05,24.4,44.15,9862,244,20.3,46.4,62,1016.6,18.4,No,87,-58,Feb,Jun,9,1,Satellite,Yes,130,Low,Excellent,Yes,Lost Signal,Researcher_C,7.4,Successful,No,96,82,Moderate
B8534,Swallow,Asia,Forest,Foggy,Climate Change,-55.78227577,-141.9314911,-7.855580135,94.70228645,2676.29,24.4,44.97,6084,320,14.2,35,74,1005.5,17.1,No,17,-75.1,Oct,May,5,9,GPS,No,152,Medium,Fair,No,Predator,Researcher_C,20.9,Failed,Yes,11,68,High
B4307,Eagle,Asia,Coastal,Clear,Avoid Predators,-89.60034204,122.8341594,67.00000846,-24.44949753,1894.42,24.5,50.11,8125,373,3.5,46.6,41,1043.8,7.2,Yes,55,-61.9,Feb,May,4,0,Radio,Yes,58,High,Good,Yes,Lost Signal,Researcher_C,21.4,Successful,Yes,47,32,Low
B8504,Goose,South America,Coastal,Windy,Avoid Predators,-79.24482153,95.25321016,-44.14251509,64.61372138,2479.56,24.5,43.72,8022,291,14.8,57.1,12,1034.7,5,No,94,-56,Jan,Mar,12,0,GPS,Yes,39,Low,Excellent,No,Injury,Researcher_B,23.9,Failed,Yes,86,24,Low
B2485,Eagle,Europe,Wetland,Foggy,Breeding,12.46130186,-122.030144,-68.27030363,75.08373856,2631.56,24.7,46.45,2884,596,26.7,9.4,88,1007.5,2.8,No,36,-59.2,Feb,Jun,2,8,Satellite,No,261,High,Poor,No,Predator,Researcher_B,27,Failed,Yes,101,61,Moderate
B5735,Stork,Australia,Grassland,Windy,Avoid Predators,-10.46391772,15.0850369,-85.13285584,67.55242234,2793.63,24.7,53.02,8225,509,30.8,8.7,25,994.4,13.5,No,29,-80.9,Feb,Nov,5,7,Radio,Yes,57,Low,Excellent,Yes,N/A,Researcher_A,18.9,Successful,No,105,32,Low
B8256,Hawk,Europe,Mountain,Clear,Climate Change,29.73376816,-109.912681,-3.907677528,127.9145359,2042.02,24.7,46.35,4795,736,19.2,9.7,69,1005.4,18,No,89,-79,Nov,Dec,8,5,Satellite,Yes,305,Low,Good,Yes,Predator,Researcher_B,29.3,Failed,No,52,72,Moderate
B1983,Eagle,Europe,Wetland,Windy,Breeding,29.356221,-147.2022434,-88.57192642,129.0958632,2185.64,24.8,48.94,1077,466,9,30.2,33,1047.6,14.6,Yes,72,-80.3,Sep,Oct,7,7,Satellite,Yes,201,High,Poor,No,Storm,Researcher_B,22.9,Successful,No,13,33,High
B1341,Crane,North America,Coastal,Clear,Avoid Predators,27.9413678,142.8888147,87.46700841,-13.1362804,1823.49,24.9,51.4,8362,217,-7,30.8,63,1030.7,10.2,No,88,-69,May,Nov,2,4,Satellite,Yes,277,High,Good,No,Injury,Researcher_C,29.1,Successful,Yes,52,27,Low
B4304,Crane,Australia,Mountain,Rainy,Climate Change,-72.92885538,-172.0296606,-32.68668956,48.65146031,2470.17,24.9,53.35,6707,557,16.8,55.4,73,960.3,7.3,No,76,-37.1,Mar,Mar,9,8,Radio,No,377,High,Fair,No,Lost Signal,Researcher_B,20,Failed,Yes,110,61,Moderate
B6015,Goose,Australia,Forest,Stormy,Breeding,16.93209305,-110.6084875,-71.26761923,-149.6865839,2227.48,24.9,48.23,4462,366,-2.7,40.4,66,1035,14.1,Yes,33,-57.6,Feb,Dec,2,9,GPS,Yes,138,Medium,Excellent,Yes,Lost Signal,Researcher_C,7.6,Successful,No,4,32,High
B9687,Eagle,Asia,Grassland,Rainy,Feeding,20.70969553,9.111584826,84.16468924,114.0415772,2254.9,25,41.09,8987,884,19.3,36.3,13,988.8,2.1,No,72,-68.3,May,Mar,9,8,Satellite,No,49,Low,Fair,Yes,Lost Signal,Researcher_C,13.3,Successful,Yes,34,24,High
B8656,Goose,South America,Urban,Clear,Avoid Predators,-64.3802353,-179.4220074,-62.59488455,132.7857126,2881.28,25,58.78,1896,549,7.3,25.8,87,951.3,14.6,Yes,88,-70.1,Sep,Dec,3,2,Satellite,Yes,372,Low,Good,Yes,N/A,Researcher_A,25.5,Failed,No,90,29,Moderate
B8618,Goose,Asia,Urban,Windy,Feeding,-68.1116681,26.29173613,28.72734504,124.917914,2646.1,25.2,56.53,3653,623,23.8,50.1,76,994.1,14.9,Yes,18,-66.4,Oct,Nov,9,1,Satellite,No,126,Low,Good,Yes,N/A,Researcher_B,9.8,Successful,Yes,89,39,Moderate
B1904,Swallow,Australia,Grassland,Rainy,Feeding,-32.94103924,-114.864218,17.6327021,167.245906,2962,25.3,52.25,8736,702,-5.9,26.7,46,999.4,4,No,78,-54.7,Jan,Apr,3,1,Radio,Yes,244,High,Poor,Yes,N/A,Researcher_C,12.4,Failed,No,93,27,Low
B7179,Goose,Africa,Mountain,Foggy,Climate Change,81.53179667,41.35315136,-39.82820764,-23.90996582,3195.89,25.3,49.27,1554,228,17.1,18,53,1031.9,14.7,Yes,40,-77.4,Oct,Oct,12,4,Satellite,Yes,480,Medium,Poor,Yes,Predator,Researcher_B,18.1,Failed,No,110,60,Low
B10105,Hawk,Europe,Coastal,Rainy,Breeding,-82.28015354,-81.33845605,-67.67510758,167.6819719,2241.33,25.3,51.76,5395,784,25,45.7,22,1044.7,12.2,No,65,-59,Nov,Mar,12,5,Satellite,Yes,162,Low,Fair,No,Lost Signal,Researcher_A,15.3,Successful,No,102,59,Moderate
B10596,Swallow,Australia,Wetland,Rainy,Avoid Predators,-76.63933234,145.9120132,-39.87108253,21.15525299,2431.04,25.3,53.29,5460,279,10.3,6,54,1036.8,3.1,No,35,-59.9,Mar,Mar,12,2,Satellite,Yes,203,Low,Excellent,Yes,Lost Signal,Researcher_C,12.4,Failed,No,43,33,Low
B10742,Stork,North America,Wetland,Foggy,Feeding,-44.58598545,132.5555993,51.36929506,-81.74308348,3050.05,25.6,53.71,2712,870,-1.9,2,34,991.6,13.7,No,69,-71.9,Oct,Oct,2,2,GPS,Yes,488,Medium,Good,Yes,Injury,Researcher_B,6.4,Successful,Yes,100,34,Moderate
B4613,Eagle,Africa,Forest,Windy,Avoid Predators,23.83367197,-33.21254014,21.9600276,-135.9088939,1888.43,25.7,52.77,7840,782,30.9,51.3,78,966.2,13.6,Yes,92,-75.2,Oct,Mar,5,3,GPS,Yes,479,Medium,Excellent,No,Lost Signal,Researcher_C,16.7,Successful,Yes,15,74,High
B7723,Swallow,South America,Mountain,Clear,Avoid Predators,17.17126324,-47.81823441,-36.19549832,-1.321026962,3195.56,25.7,62.17,6471,262,18.2,28.7,90,979.6,15.6,Yes,65,-75.7,May,Mar,4,2,Radio,Yes,253,Medium,Good,No,Predator,Researcher_A,27.3,Failed,Yes,12,82,Low
B3983,Swallow,Asia,Coastal,Foggy,Breeding,49.67079979,-174.2194302,-83.26845402,93.76633386,1844.09,25.8,55.87,1619,893,23.7,6.8,91,1003.2,7,Yes,92,-62.9,Feb,Oct,14,2,Radio,No,366,High,Good,No,Injury,Researcher_B,13.5,Successful,No,119,9,High
B8695,Warbler,Australia,Forest,Stormy,Breeding,11.98696864,30.82744801,-11.5541541,69.98409975,2909.35,25.9,55.96,4835,496,-2.9,4.4,31,1040.4,19.3,No,38,-79.7,Sep,Jun,1,9,Radio,No,421,Medium,Good,No,Lost Signal,Researcher_B,18.1,Successful,No,14,83,Low
B8034,Warbler,North America,Coastal,Foggy,Climate Change,-73.67518365,90.95968082,-64.10487582,138.193566,2449.54,26,46.97,2772,516,0.9,21.9,45,1002.6,9.4,Yes,10,-62,Nov,May,9,5,Radio,No,137,Low,Fair,Yes,Predator,Researcher_A,22.6,Successful,Yes,107,35,Low
B8764,Warbler,South America,Forest,Stormy,Avoid Predators,-77.23304788,-110.328339,-89.88664493,-134.9657377,2745.06,26,51.3,1921,552,27,52.7,25,990.5,11.3,Yes,90,-68.1,Mar,Dec,13,8,GPS,No,284,Low,Good,No,N/A,Researcher_C,21.1,Failed,Yes,34,84,Moderate
B9226,Goose,Australia,Forest,Clear,Avoid Predators,72.15410285,-16.79059759,-50.02669897,80.18464894,2214.14,26,57.79,3459,654,16.8,2.1,38,959.1,18.9,Yes,10,-54.4,Apr,Mar,11,8,Satellite,No,498,Low,Good,No,N/A,Researcher_B,27.4,Failed,No,58,71,Moderate
B8347,Stork,Australia,Forest,Rainy,Avoid Predators,-81.589505,-66.31966899,26.96271126,-143.3827991,2044.95,26.1,54.65,6953,190,-7,57,37,980.9,6.7,No,68,-72.5,Nov,Apr,3,5,GPS,No,22,High,Excellent,No,Lost Signal,Researcher_A,11,Successful,No,36,32,Moderate
